"name","year","salary","Pos","Age","Tm","GS","MP","PER","TS%","TRB%","AST%","STL%","BLK%","TOV%","USG%","WS","BPM","VORP","FG","FG%","3P","3P%","2P","2P%","eFG%","FT","FT%","AST","PF","PTS","out","ovr","ins","pla","ath","def","reb"
"isaiah thomas","2017",6261395,"PG",27,"BOS",76,2569,26.5,0.625,4.4,32.6,1.4,0.4,10.7,34,12.6,5.5,4.8,682,0.463,245,0.379,437,0.528,0.546,590,0.909,449,167,2199,94,99,69,98,90,83,40
"karl anthony towns","2017",6216840,"C",21,"MIN",82,3030,26,0.618,19.4,13.2,1,2.9,11.3,27.5,12.7,5,5.4,802,0.542,101,0.367,701,0.582,0.576,356,0.832,220,241,2061,90,96,94,61,85,83,97
"nikola mirotic","2016",5782450,"PF",24,"CHI",38,1646,15.6,0.564,11.6,9.4,1.8,2,12.9,21.1,3.9,1.2,1.3,248,0.407,135,0.39,113,0.43,0.518,146,0.807,100,151,777,78,76,69,57,74,67,70
"sam dekker","2017",1794600,"SF",22,"HOU",2,1419,13,0.549,10.9,7.7,1.3,1.2,8.2,14.9,3.1,-1.1,0.3,203,0.473,60,0.321,143,0.591,0.543,38,0.559,76,83,504,78,79,65,53,73,57,56
"stephen curry","2017",34682550,"PG",28,"GSW",79,2638,24.6,0.624,7.3,31.1,2.6,0.5,13,30.1,12.6,7.3,6.2,675,0.468,324,0.411,351,0.537,0.58,325,0.898,523,183,1999,99,98,70,98,92,86,78
"stephen zimmerman","2017",1312611,"C",20,"ORL",0,108,7.3,0.346,17.6,5.3,0.9,3.7,8.3,14.8,0,-7.3,-0.1,10,0.323,0,0.271141901221455,10,0.323,0.323,3,0.6,4,17,23,55,67,67,52,53,52,71
