Date,Firm,To Grade,From Grade,Action
2015-10-23,Canaccord Genuity,Hold,,main
2015-10-23,Credit Suisse,Outperform,,main
2015-10-23,JMP Securities,Market Outperform,,main
2015-10-23,Deutsche Bank,Buy,,main
2015-10-27,Axiom Capital,Buy,,main
2015-12-01,Barclays,Overweight,,main
2015-12-08,Pacific Crest,Overweight,,init
2015-12-09,Nomura,Buy,,main
2015-12-15,MKM Partners,Buy,,init
2015-12-22,Macquarie,Outperform,,main
2016-01-04,Monness Crespi Hardt,Neutral,,down
2016-01-12,Credit Suisse,Outperform,,main
2016-01-15,Susquehanna,Perform,,init
2016-01-19,Credit Suisse,Outperform,,main
2016-01-29,Benchmark,Buy,,main
2016-02-18,Canaccord Genuity,Buy,,up
2016-02-29,Bernstein,Outperform,,main
2016-03-02,BMO Capital,Outperform,,init
2016-03-22,Raymond James,Outperform,,down
2016-03-29,Stifel Nicolaus,Buy,,main
2016-04-01,Citigroup,Buy,,main
2016-04-07,JP Morgan,Overweight,,main
2016-04-29,Citigroup,Buy,,main
2016-04-29,Credit Suisse,Outperform,,main
2016-04-29,Goldman Sachs,Buy,,main
2016-04-29,Axiom Capital,Buy,,main
2016-05-03,Nomura,Buy,,main
2016-06-10,William Blair,Outperform,,init
2016-06-16,KeyBanc,Overweight,,main
2016-06-23,Maxim Group,Buy,,init
2016-07-21,Goldman Sachs,Buy,,main
2016-07-25,Wedbush,Outperform,,main
2016-07-29,UBS,Buy,,main
2016-07-29,Citigroup,Buy,,main
2016-07-29,CLSA,Outperform,,main
2016-07-29,Pacific Crest,Overweight,,main
2016-07-29,JP Morgan,Overweight,,main
2016-07-29,Jefferies,Buy,,main
2016-07-29,SunTrust Robinson Humphrey,Neutral,,main
2016-07-29,Deutsche Bank,Buy,,main
2016-07-29,JMP Securities,Market Outperform,,main
2016-08-02,MKM Partners,Buy,,main
2016-09-22,Argus Research,Buy,,up
2016-09-27,JP Morgan,Overweight,,main
2016-09-29,Maxim Group,Buy,,main
2016-09-30,Guggenheim,Buy,,init
2016-09-30,JMP Securities,Market Outperform,,main
2016-10-05,SunTrust Robinson Humphrey,Neutral,,main
2016-10-05,Morgan Stanley,Overweight,,main
2016-10-17,Credit Suisse,Outperform,,main
2016-10-24,Goldman Sachs,Buy,,main
2016-11-01,Axiom Capital,Buy,,main
2016-11-23,Citigroup,Buy,,main
2016-11-28,Citigroup,Buy,,main
2017-01-20,Aegis Capital,Buy,,init
2017-03-28,Barclays,Overweight,,init
2017-03-31,Loop Capital,Buy,,init
2017-04-04,BMO Capital,Outperform,,main
2017-04-10,Needham,Buy,,up
2017-04-20,Wolfe Research,Peer Perform,,down
2017-04-24,Goldman Sachs,Buy,,main
2017-04-25,Raymond James,Market Perform,,down
2017-04-28,Benchmark,Buy,,reit
2017-04-28,Pacific Crest,Sector Weight,,down
2017-07-18,Deutsche Bank,Buy,,main
2017-07-20,Morgan Stanley,Overweight,,main
2017-08-16,SunTrust Robinson Humphrey,Buy,,init
2017-09-06,DA Davidson,Buy,,init
2017-09-13,Loop Capital,Buy,,init
2017-10-11,Credit Suisse,Outperform,,main
2017-10-24,Deutsche Bank,Buy,,main
2017-10-27,Canaccord Genuity,Buy,,main
2017-10-27,Loop Capital,Buy,,main
