Date,Firm,To Grade,From Grade,Action
2019-07-26,Morgan Stanley,Overweight,,main
2019-07-26,Mizuho,Buy,,main
2019-07-26,Citigroup,Buy,,main
2019-10-23,Credit Suisse,Outperform,,main
2019-10-25,BMO Capital,Market Perform,,main
2019-10-29,Canaccord Genuity,Buy,,main
2019-10-29,Barclays,Overweight,,main
2019-10-29,BMO Capital,Market Perform,,main
2019-10-29,KeyBanc,Overweight,,main
2019-10-29,Raymond James,Outperform,,main
2019-10-29,Deutsche Bank,Buy,,main
2019-10-29,UBS,Buy,,main
2019-12-03,PiperJaffray,Overweight,,init
2019-12-03,Piper Jaffray,Overweight,,init
2019-12-05,Stifel Nicolaus,Buy,Hold,up
2020-01-06,Pivotal Research,Buy,Hold,up
2020-01-10,Bernstein,Outperform,,init
